time, sin, cos, 1, sign(sin), exp, sqrt, atan, erf,bessel_1, bessel_2, bessel_3, sinc, struve_1, struve_2
0.0, 0.0, 1.0, 1, 0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0
0.03, 0.0299955002025, 0.999550033749, 1, 1, 1.03045453395, 0.173205080757, 0.0299910048569, 0.0338412223417, 0.0149983125633, 0.000112491562737, 5.62468360087e-07, 0.998520216712, 0.000190974472849, 1.14586648058e-06
0.06, 0.0599640064794, 0.998200539935, 1, 1, 1.06183654655, 0.244948974278, 0.0599281551212, 0.0676215943933, 0.0299865020248, 0.000449865015187, 4.49898759112e-06, 0.994088748646, 0.000763760399204, 9.16575330643e-06
0.09, 0.089878549198, 0.995952733012, 1, 1, 1.09417428371, 0.3, 0.08975817419, 0.101280593915, 0.0449544528747, 0.00101181673547, 1.51798128849e-05, 0.986729191218, 0.00171794540855, 3.09277891926e-05
0.12, 0.119712207289, 0.992808635854, 1, 1, 1.12749685158, 0.346410161514, 0.119428926018, 0.13475835182, 0.0598920647806, 0.00179784097177, 3.59676116617e-05, 0.976480703888, 0.00305284257012, 7.32883245421e-05
0.15, 0.149438132474, 0.988771077936, 1, 1, 1.16183424273, 0.387298334621, 0.148889947609, 0.167995971427, 0.0747892601612, 0.002807230269, 7.02136786478e-05, 0.963397762004, 0.0047674909228, 0.000143086054658
0.18, 0.179029573426, 0.983843692788, 1, 1, 1.19721736312, 0.424264068712, 0.178092938231, 0.200935839019, 0.089635991743, 0.00403907606571, 0.000121254161701, 0.9475498118, 0.0068606562163, 0.000247136157782
0.21, 0.208459899846, 0.978030914724, 1, 1, 1.23367805996, 0.458257569496, 0.20699219422, 0.233521922982, 0.104422250091, 0.00549226946065, 0.000192406301949, 0.929020830902, 0.00933083186315, 0.000392224452892
0.24, 0.237702626427, 0.971337974852, 1, 1, 1.27124915032, 0.489897948557, 0.235544980721, 0.265700058954, 0.119138071113, 0.00716550214832, 0.000286964691798, 0.907908797398, 0.0121762401007, 0.00058510158215
0.27, 0.266731436689, 0.963770896366, 1, 1, 1.30996445073, 0.519615242271, 0.263711834462, 0.297418218547, 0.133773543525, 0.00905726752283, 0.000408197554352, 0.884325071108, 0.0153948333621, 0.000832477222908
0.3, 0.295520206661, 0.955336489126, 1, 1, 1.34985880758, 0.547722557505, 0.291456794478, 0.328626759459, 0.148318816273, 0.0111658619491, 0.000559343047749, 0.858393691334, 0.0189842958554, 0.00114101433411
0.33, 0.324043028395, 0.946042343528, 1, 1, 1.39096812846, 0.574456264654, 0.318747560421, 0.359278654974, 0.162764105918, 0.0134893862001, 0.000743605597931, 0.830250595907, 0.0229420453493, 0.00151732344194
0.36, 0.352274233275, 0.935896823678, 1, 1, 1.43332941456, 0.6, 0.345555580582, 0.389329701129, 0.177099703954, 0.0160257470595, 0.000964152263305, 0.800042766907, 0.0272652351639, 0.0019679569695
0.39, 0.380188415123, 0.924909059857, 1, 1, 1.47698079388, 0.62449979984, 0.371856073849, 0.41873870007, 0.191315984074, 0.0187726590878, 0.00122410913473, 0.767927308919, 0.0319507563657, 0.00249940361534
0.42, 0.40776045306, 0.913088940312, 1, 1, 1.52196155562, 0.648074069841, 0.397627991522, 0.447467618426, 0.205403409375, 0.0217276465507, 0.00152655777428, 0.734070466139, 0.0369952401641, 0.0031180827854
